Site,ServerName,IP address,Update Status,Update Date
GICT,WinAppServer115,25.50.164.88,true,17-07-2023
PGMSB,WinAppServer1,212.28.71.112,false,23-11-2024
GICT,WinAppServer115,202.31.129.108,false,06-04-2024
PGMSB,WinAppServer115,77.184.179.50,true,14-11-2023
GICT,WinAppServer10,88.22.94.17,true,08-07-2023
RND,WinAppServer10,83.63.4.85,false,27-11-2023
PGMSB,WinAppServer115,220.23.47.138,true,18-08-2024
GICT,WinAppServer1,13.71.33.218,true,02-07-2023
GICT,WinAppServer3,16.204.17.187,true,18-05-2024
RND,WinAppServer1,236.171.86.47,true,29-02-2024
GICT,WinAppServer3,215.121.107.103,false,09-06-2023
GICT,WinAppServer115,174.162.176.122,true,15-01-2024
GICT,WinAppDB5,102.127.161.63,true,11-03-2023
GICT,WinAppServer10,14.59.227.43,true,25-11-2023
PGMSB,WinAppServer1,51.67.28.130,false,03-06-2023
PGMSB,WinAppServer115,15.140.19.56,true,24-12-2023
GICT,WinAppServer115,118.248.83.153,false,07-03-2024
PGMSB,WinAppServer3,197.156.232.48,true,18-03-2024
PGMSB,WinAppDB5,191.119.244.113,true,28-08-2023
GICT,WinAD4,161.17.159.13,true,26-02-2024
PGMSB,WinAppDB5,245.196.248.181,true,16-04-2024
GICT,WinAppServer1,27.218.154.102,false,04-09-2024
GICT,WinAppDB5,180.32.231.41,false,08-01-2023
PGMSB,WinAD4,92.123.156.69,true,02-04-2024
GICT,WinAppServer10,202.120.196.97,false,25-09-2024
GICT,WinAppServer10,2.53.10.65,true,24-05-2024
PGMSB,WinAppServer10,193.7.193.2,true,09-04-2024
PGMSB,WinAppServer1,6.212.149.120,false,31-01-2023
GICT,WinAD4,83.86.95.101,false,01-03-2024
RND,WinAppServer3,102.250.225.152,true,28-10-2023
RND,WinAD4,40.195.212.178,false,13-02-2023
GICT,WinAppServer10,156.220.69.161,false,01-03-2023
GICT,WinAppServer10,125.125.80.63,false,06-06-2023
PGMSB,WinAD4,220.98.184.2,true,04-04-2023
GICT,WinAppServer1,156.79.99.70,false,16-02-2024
GICT,WinAppServer115,249.72.127.102,false,20-09-2024
PGMSB,WinAppServer115,80.121.178.37,false,01-11-2024
PGMSB,WinAppServer10,241.134.120.131,true,09-05-2024
GICT,WinAppServer3,102.86.44.143,true,15-08-2023
PGMSB,WinAppServer10,151.12.139.92,true,06-07-2024
PGMSB,WinAppServer3,67.233.145.34,false,01-10-2023
RND,WinAD4,74.98.39.136,true,05-06-2023
GICT,WinAppDB5,29.118.1.174,true,24-10-2023
GICT,WinAppServer3,4.210.139.22,true,13-11-2023
GICT,WinAppServer10,227.181.65.135,true,04-08-2023
GICT,WinAppServer1,135.197.132.224,true,07-04-2024
PGMSB,WinAD4,119.42.232.188,true,03-01-2023
GICT,WinAppServer1,68.107.120.185,true,19-02-2023
GICT,WinAppServer10,242.31.137.142,false,27-08-2024
GICT,WinAppServer1,185.27.131.237,false,05-06-2024
GICT,WinAppDB5,255.22.26.43,true,10-06-2024
GICT,WinAppServer1,32.245.230.132,true,29-09-2023
GICT,WinAppDB5,111.224.99.20,true,21-10-2024
GICT,WinAppServer3,30.180.166.80,false,06-01-2024
PGMSB,WinAD4,147.171.211.144,true,25-02-2024
PGMSB,WinAppServer115,224.107.137.147,false,17-07-2023
GICT,WinAppDB5,162.14.46.196,false,09-02-2024
GICT,WinAD4,81.132.61.130,false,07-03-2024
GICT,WinAppDB5,180.89.248.112,true,11-03-2023
PGMSB,WinAD4,191.67.171.102,false,13-07-2024
RND,WinAD4,189.89.86.60,true,30-09-2023
PGMSB,WinAD4,152.86.146.74,false,27-07-2024
PGMSB,WinAppServer3,213.227.104.81,true,28-03-2023
RND,WinAppServer3,254.213.227.167,false,25-12-2023
PGMSB,WinAppServer3,195.233.59.90,true,10-12-2023
GICT,WinAD4,62.63.2.78,false,03-05-2023
GICT,WinAppServer3,59.198.253.180,false,14-05-2023
GICT,WinAD4,54.163.67.136,true,09-11-2023
GICT,WinAppServer10,91.47.176.8,true,18-04-2024
PGMSB,WinAppDB5,195.140.115.241,false,02-11-2024
PGMSB,WinAD4,66.0.25.213,true,10-05-2024
PGMSB,WinAppServer10,248.191.239.14,true,03-04-2023
GICT,WinAppServer1,21.171.161.119,false,05-05-2024
PGMSB,WinAppServer3,117.45.225.245,false,29-06-2023
PGMSB,WinAppServer3,226.76.48.234,true,14-07-2024
GICT,WinAppServer115,95.227.167.58,true,08-04-2024
RND,WinAppDB5,67.45.48.159,false,30-11-2024
GICT,WinAppServer1,156.52.236.140,true,16-01-2024
GICT,WinAD4,178.124.94.192,true,25-09-2024
RND,WinAppServer10,152.191.163.84,false,11-06-2023
GICT,WinAppDB5,42.33.135.68,true,28-05-2024
RND,WinAppServer1,38.145.159.244,false,01-02-2024
PGMSB,WinAppServer3,33.24.59.155,true,15-09-2023
PGMSB,WinAD4,94.180.67.185,true,31-03-2023
GICT,WinAppDB5,207.24.241.124,true,19-10-2023
GICT,WinAppDB5,106.29.123.117,false,16-07-2023
GICT,WinAppServer1,15.227.2.224,false,21-06-2024
GICT,WinAppServer10,109.104.165.185,false,12-11-2024
RND,WinAD4,207.44.208.160,true,14-12-2023
PGMSB,WinAD4,29.243.87.139,true,18-03-2024
GICT,WinAD4,52.18.8.140,false,17-10-2024
GICT,WinAppServer3,220.211.212.23,true,08-01-2023
GICT,WinAppDB5,14.250.177.207,false,30-09-2023
GICT,WinAppServer3,118.46.113.169,true,03-11-2023
GICT,WinAppDB5,207.178.251.35,false,02-03-2024
PGMSB,WinAppServer10,196.165.193.198,true,21-10-2023
PGMSB,WinAD4,144.6.214.129,false,03-07-2023
GICT,WinAppServer1,151.148.61.101,true,27-02-2024
PGMSB,WinAppServer1,215.71.138.44,true,27-11-2024
PGMSB,WinAD4,125.5.44.17,false,05-01-2023
GICT,WinAppServer10,71.106.41.222,false,16-06-2024
GICT,WinAppServer3,96.251.187.69,false,12-06-2023
GICT,WinAD4,227.82.217.159,false,25-01-2023
GICT,WinAppServer115,30.192.241.41,true,19-07-2024
PGMSB,WinAppServer10,248.239.7.197,true,27-11-2024
